Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
05;Oppland;;;;;KRF;Kristelig Folkeparti;1,56615;132383;791;703;1494;-0,53347;-0,25333;0;0;
05;Oppland;;;;;MDG;Miljøpartiet De Grønne;2,16473;132383;1385;680;2065;-0,18777;-2,61975;0;0;
05;Oppland;;;;;V;Venstre;2,28214;132383;1127;1050;2177;-0,24063;0,29223;0;0;
05;Oppland;;;;;H;Høyre;12,47576;132383;6299;5602;11901;-3,82452;-0,37597;1;0;
05;Oppland;;;;;FRP;Fremskrittspartiet;8,63585;132383;3577;4661;8238;-3,20927;3,5272;1;1;
05;Oppland;;;;;AAN;Alliansen - Alternativ for Norge;0,08386;132383;42;38;80;0,08386;0,08386;0;0;
05;Oppland;;;;;DEMN;Demokratene;0,94556;132383;470;432;902;0,82466;0,70852;0;0;
05;Oppland;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,06814;132383;33;32;65;0,06814;0,06814;0;0;
05;Oppland;;;;;HELSE;Helsepartiet;0,1866;132383;96;82;178;-0,21036;-0,14527;0;0;
05;Oppland;;;;;INP;Industri- og Næringspartiet;0,13104;132383;70;55;125;0,13104;0,13104;0;0;
05;Oppland;;;;;KRISTNE;Partiet De Kristne;0,21385;132383;107;97;204;0,05165;-0,18336;0;0;
05;Oppland;;;;;LIBS;Liberalistene;0,08911;132383;41;44;85;-0,04187;-0,14153;0;0;
05;Oppland;;;;;PIR;Piratpartiet;0,0629;132383;32;28;60;0,0629;0,0629;0;0;
05;Oppland;;;;;PP;Pensjonistpartiet;0,54721;132383;324;198;522;0,12507;-0,84559;0;0;
05;Oppland;;;;;PS;Partiet Sentrum;0,17716;132383;94;75;169;0,17716;0,17716;0;0;
05;Oppland;;;;;BLANKE;Blanke;0,57132;132383;226;319;545;-0,0765;-1,29686;0;0;
06;Buskerud;;;;;A;Arbeiderpartiet;28,52145;191637;24236;15305;39541;-0,38508;3,44358;3;0;
06;Buskerud;;;;;SV;SV - Sosialistisk Venstreparti;5,48992;191637;5020;2591;7611;0,59072;1,22616;1;1;
06;Buskerud;;;;;RØDT;Rødt;3,39666;191637;3143;1566;4709;1,97355;1,14564;0;0;
06;Buskerud;;;;;SP;Senterpartiet;16,2346;191637;12131;10376;22507;4,86228;-2,52168;1;0;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;2,32335;191637;1912;1309;3221;-0,28335;0,02722;0;0;
06;Buskerud;;;;;MDG;Miljøpartiet De Grønne;2,87299;191637;2798;1185;3983;0,33357;-3,08946;0;0;
06;Buskerud;;;;;V;Venstre;3,48178;191637;2778;2049;4827;0,12472;1,36522;0;0;
06;Buskerud;;;;;H;Høyre;22,11763;191637;18924;11739;30663;-4,20956;-1,58494;2;0;
06;Buskerud;;;;;FRP;Fremskrittspartiet;12,32364;191637;9233;7852;17085;-4,9156;3,43188;1;0;
06;Buskerud;;;;;AAN;Alliansen - Alternativ for Norge;0,09882;191637;88;49;137;0,09882;0,09882;0;0;
06;Buskerud;;;;;DEMN;Demokratene;1,39358;191637;1195;737;1932;1,26125;1,15103;0;0;
06;Buskerud;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,08944;191637;62;62;124;0,08944;-3,50709;0;0;
06;Buskerud;;;;;HELSE;Helsepartiet;0,2943;191637;240;168;408;-0,29195;-0,24782;0;0;
06;Buskerud;;;;;INP;Industri- og Næringspartiet;0,19403;191637;161;108;269;0,19403;0,19403;0;0;
06;Buskerud;;;;;KRISTNE;Partiet De Kristne;0,22866;191637;199;118;317;0,04014;-0,13304;0;0;
06;Buskerud;;;;;LIBS;Liberalistene;0,16734;191637;135;97;232;-0,03448;-0,09393;0;0;
06;Buskerud;;;;;PIR;Piratpartiet;0,08656;191637;59;61;120;0,0836;-0,08706;0;0;
06;Buskerud;;;;;PP;Pensjonistpartiet;0,37436;191637;378;141;519;0,36032;-0,40605;0;0;
06;Buskerud;;;;;PS;Partiet Sentrum;0,31089;191637;242;189;431;0,31089;0,31089;0;0;
06;Buskerud;;;;;BLANKE;Blanke;0,69895;191637;495;474;969;0,00847;-1,18612;0;0;
07;Vestfold;;;;;A;Arbeiderpartiet;26,99009;182961;19215;17264;36479;-0,97592;0,00417;2;0;
07;Vestfold;;;;;SV;SV - Sosialistisk Venstreparti;6,03816;182961;4857;3304;8161;1,02799;1,36701;1;1;
07;Vestfold;;;;;RØDT;Rødt;4,41191;182961;3757;2206;5963;2,53404;1,09067;0;0;
07;Vestfold;;;;;SP;Senterpartiet;10,01576;182961;6763;6774;13537;3,92883;-0,83402;1;0;
07;Vestfold;;;;;KRF;Kristelig Folkeparti;3,49815;182961;2487;2241;4728;-0,22037;0,0884;0;0;
07;Vestfold;;;;;MDG;Miljøpartiet De Grønne;3,84664;182961;3523;1676;5199;0,86772;-3,56772;0;0;
07;Vestfold;;;;;V;Venstre;3,98795;182961;2916;2474;5390;0,10997;0,63308;0;0;
07;Vestfold;;;;;H;Høyre;25,2092;182961;18832;15240;34072;-5,01359;-1,70148;2;0;
07;Vestfold;;;;;FRP;Fremskrittspartiet;12,54985;182961;8173;8789;16962;-4,2416;2,65961;1;0;
07;Vestfold;;;;;AAN;Alliansen - Alternativ for Norge;0,10728;182961;81;64;145;0,10728;0,10728;0;0;
07;Vestfold;;;;;DEMN;Demokratene;1,32735;182961;1053;741;1794;1,21268;1,0671;0;0;
07;Vestfold;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,05105;182961;33;36;69;0,05105;-1,18025;0;0;
07;Vestfold;;;;;HELSE;Helsepartiet;0,27967;182961;215;163;378;-0,1972;-0,12486;0;0;
07;Vestfold;;;;;INP;Industri- og Næringspartiet;0,29299;182961;228;168;396;0,29299;0,29299;0;0;
07;Vestfold;;;;;KRISTNE;Partiet De Kristne;0,48092;182961;365;285;650;0,18933;-0,25821;0;0;
07;Vestfold;;;;;LIBS;Liberalistene;0,13984;182961;108;81;189;-0,07658;-0,18237;0;0;
07;Vestfold;;;;;PIR;Piratpartiet;0,09027;182961;78;44;122;-0,0654;0,09027;0;0;
07;Vestfold;;;;;PP;Pensjonistpartiet;0,41507;182961;363;198;561;0,41507;0,41507;0;0;
07;Vestfold;;;;;PS;Partiet Sentrum;0,26784;182961;210;152;362;0,26784;0,26784;0;0;
07;Vestfold;;;;;BLANKE;Blanke;0,65405;182961;428;456;884;-0,05214;-0,94549;0;0;
08;Telemark;;;;;A;Arbeiderpartiet;31,00853;130953;14294;14881;29175;-0,92288;-1,94165;2;0;
08;Telemark;;;;;SV;SV - Sosialistisk Venstreparti;5,91049;130953;3078;2483;5561;0,95524;1,03606;0;0;
08;Telemark;;;;;RØDT;Rødt;4,60956;130953;2487;1850;4337;2,50255;0,31237;1;1;
08;Telemark;;;;;SP;Senterpartiet;16,60272;130953;6567;9054;15621;3,74282;-2,44478;1;0;
08;Telemark;;;;;KRF;Kristelig Folkeparti;4,4799;130953;2182;2033;4215;-0,50116;-0,46873;0;0;
08;Telemark;;;;;MDG;Miljøpartiet De Grønne;2,68581;130953;1652;875;2527;0,21645;-2,3106;0;0;
08;Telemark;;;;;V;Venstre;2,15333;130953;1044;982;2026;-0,52148;0,28077;0;0;
08;Telemark;;;;;H;Høyre;15,74181;130953;7758;7053;14811;-4,3321;1,08331;1;0;
08;Telemark;;;;;FRP;Fremskrittspartiet;12,79454;130953;5134;6904;12038;-3,73637;4,16242;1;0;
08;Telemark;;;;;AAN;Alliansen - Alternativ for Norge;0,1116;130953;58;47;105;0,1116;0,1116;0;0;
08;Telemark;;;;;DEMN;Demokratene;1,43378;130953;678;671;1349;1,30061;1,21873;0;0;
08;Telemark;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,09034;130953;38;47;85;0,09034;-1,87905;0;0;
08;Telemark;;;;;HELSE;Helsepartiet;0,20194;130953;98;92;190;-0,16351;-0,12126;0;0;
08;Telemark;;;;;INP;Industri- og Næringspartiet;0,62176;130953;289;296;585;0,62176;0,62176;0;0;
08;Telemark;;;;;KRISTNE;Partiet De Kristne;0,6579;130953;340;279;619;0,10353;-0,20858;0;0;
08;Telemark;;;;;LIBS;Liberalistene;0,10841;130953;54;48;102;-0,02889;-0,12299;0;0;
08;Telemark;;;;;PIR;Piratpartiet;0,08396;130953;35;44;79;0,08396;0,08396;0;0;
08;Telemark;;;;;PP;Pensjonistpartiet;0,44002;130953;257;157;414;0,44002;0,44002;0;0;
08;Telemark;;;;;PS;Partiet Sentrum;0,26359;130953;129;119;248;0,26359;0,26359;0;0;
08;Telemark;;;;;BLANKE;Blanke;0,6207;130953;241;343;584;-0,02451;-0,99782;0;0;
09;Aust-Agder;;;;;A;Arbeiderpartiet;24,61555;87300;8062;7689;15751;-0,75394;1,45854;1;0;
09;Aust-Agder;;;;;SV;SV - Sosialistisk Venstreparti;5,38851;87300;2059;1389;3448;1,42013;0,9586;0;0;
09;Aust-Agder;;;;;RØDT;Rødt;3,68819;87300;1403;957;2360;2,443;1,06389;0;0;
09;Aust-Agder;;;;;SP;Senterpartiet;13,59942;87300;3907;4795;8702;5,45175;1,98634;1;0;
09;Aust-Agder;;;;;KRF;Kristelig Folkeparti;8,77665;87300;2940;2676;5616;-1,04118;-2,05887;0;0;
09;Aust-Agder;;;;;MDG;Miljøpartiet De Grønne;2,8771;87300;1197;644;1841;0,26172;-1,87243;0;0;
09;Aust-Agder;;;;;V;Venstre;3,14434;87300;1056;956;2012;-0,16004;0,1163;0;0;
09;Aust-Agder;;;;;H;Høyre;20,25849;87300;6993;5970;12963;-5,51254;-3,54712;1;0;
09;Aust-Agder;;;;;FRP;Fremskrittspartiet;13,38532;87300;3685;4880;8565;-3,92712;4,2414;1;1;
09;Aust-Agder;;;;;AAN;Alliansen - Alternativ for Norge;0,0672;87300;19;24;43;0,0672;0,0672;0;0;
09;Aust-Agder;;;;;DEMN;Demokratene;1,42058;87300;523;386;909;1,26278;0,68039;0;0;
09;Aust-Agder;;;;;HELSE;Helsepartiet;0,28912;87300;100;85;185;-0,09835;-1,41182;0;0;
09;Aust-Agder;;;;;INP;Industri- og Næringspartiet;0,42664;87300;158;115;273;0,42664;0,42664;0;0;
09;Aust-Agder;;;;;KRISTNE;Partiet De Kristne;0,87516;87300;326;234;560;0,14711;-0,41082;0;0;
09;Aust-Agder;;;;;LIBS;Liberalistene;0,15628;87300;48;52;100;-0,0312;-0,20634;0;0;
09;Aust-Agder;;;;;PIR;Piratpartiet;0,09846;87300;30;33;63;-0,05778;-0,28659;0;0;
09;Aust-Agder;;;;;PP;Pensjonistpartiet;0,58605;87300;244;131;375;-0,11545;-1,55227;0;0;
09;Aust-Agder;;;;;PS;Partiet Sentrum;0,34694;87300;156;66;222;0,34694;0,34694;0;0;
09;Aust-Agder;;;;;BLANKE;Blanke;0,49384;87300;137;179;316;-0,02173;-1,12672;0;0;
10;Vest-Agder;;;;;A;Arbeiderpartiet;20,83248;137466;12341;8945;21286;-0,18992;1,71155;1;0;
10;Vest-Agder;;;;;SV;SV - Sosialistisk Venstreparti;5,1675;137466;3429;1851;5280;0,86785;0,7319;0;0;
10;Vest-Agder;;;;;RØDT;Rødt;3,15433;137466;2085;1138;3223;1,79345;0,77097;0;0;
10;Vest-Agder;;;;;SP;Senterpartiet;10,42309;137466;5522;5128;10650;3,93628;1,56568;1;0;
10;Vest-Agder;;;;;KRF;Kristelig Folkeparti;13,88277;137466;8078;6107;14185;1,27152;-0,58755;1;0;
10;Vest-Agder;;;;;MDG;Miljøpartiet De Grønne;3,04667;137466;2105;1008;3113;0,15668;-3,46762;0;0;
10;Vest-Agder;;;;;V;Venstre;3,53113;137466;2095;1513;3608;-0,09157;0,45104;1;1;
10;Vest-Agder;;;;;H;Høyre;21,36195;137466;12929;8898;21827;-6,5156;1,85932;1;0;
10;Vest-Agder;;;;;FRP;Fremskrittspartiet;13,28577;137466;7116;6459;13575;-3,83817;3,70633;1;0;
10;Vest-Agder;;;;;AAN;Alliansen - Alternativ for Norge;0,04991;137466;24;27;51;0,04991;0,04991;0;0;
10;Vest-Agder;;;;;DEMN;Demokratene;2,61311;137466;1549;1121;2670;1,87145;-5,58781;0;0;
10;Vest-Agder;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,05872;137466;28;32;60;0,05872;0,05872;0;0;
10;Vest-Agder;;;;;HELSE;Helsepartiet;0,15953;137466;97;66;163;-0,06546;-0,3452;0;0;
10;Vest-Agder;;;;;INP;Industri- og Næringspartiet;0,34548;137466;220;133;353;0,34548;0,34548;0;0;
10;Vest-Agder;;;;;KRISTNE;Partiet De Kristne;0,93172;137466;621;331;952;0,14326;-0,71238;0;0;
10;Vest-Agder;;;;;LIBS;Liberalistene;0,15072;137466;85;69;154;-0,05834;-0,1873;0;0;
10;Vest-Agder;;;;;PIR;Piratpartiet;0,07438;137466;35;41;76;-0,07594;-0,11647;0;0;
10;Vest-Agder;;;;;PP;Pensjonistpartiet;0,48641;137466;361;136;497;0,06033;-0,6909;0;0;
10;Vest-Agder;;;;;PS;Partiet Sentrum;0,44433;137466;276;178;454;0,44433;0,44433;0;0;
10;Vest-Agder;;;;;BLANKE;Blanke;0,57939;137466;265;327;592;0,10851;-0,79107;0;0;
11;Rogaland;;;;;A;Arbeiderpartiet;22,38306;333475;31340;24852;56192;-0,18218;0,03915;3;0;
11;Rogaland;;;;;SV;SV - Sosialistisk Venstreparti;4,9433;333475;7628;4782;12410;0,98024;0,87302;1;0;
11;Rogaland;;;;;RØDT;Rødt;3,68935;333475;5684;3578;9262;2,5241;1,34043;1;1;
11;Rogaland;;;;;SP;Senterpartiet;10,47294;333475;13226;13066;26292;3,15479;-0,06028;2;0;
11;Rogaland;;;;;KRF;Kristelig Folkeparti;8,06542;333475;11292;8956;20248;-0,25342;-0,48576;1;0;
11;Rogaland;;;;;MDG;Miljøpartiet De Grønne;2,36171;333475;4078;1851;5929;-0,21885;-2,72853;0;0;
11;Rogaland;;;;;V;Venstre;3,37985;333475;4637;3848;8485;-0,15967;0,35186;0;0;
11;Rogaland;;;;;H;Høyre;24,02737;333475;35544;24776;60320;-4,76089;1,92638;4;0;
11;Rogaland;;;;;FRP;Fremskrittspartiet;16,94464;333475;22827;19712;42539;-2,80497;4,29766;2;0;
11;Rogaland;;;;;AAN;Alliansen - Alternativ for Norge;0,08126;333475;113;91;204;0,08126;0,08126;0;0;
11;Rogaland;;;;;DEMN;Demokratene;1,03407;333475;1616;980;2596;0,93923;0,86499;0;0;
11;Rogaland;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,12348;333475;149;161;310;0,12348;-6,28705;0;0;
11;Rogaland;;;;;HELSE;Helsepartiet;0,19359;333475;264;222;486;-0,01798;0,19359;0;0;
11;Rogaland;;;;;INP;Industri- og Næringspartiet;0,64211;333475;1005;607;1612;0,64211;0,64211;0;0;
11;Rogaland;;;;;KRISTNE;Partiet De Kristne;0,54452;333475;731;636;1367;0,04924;-0,40252;0;0;
11;Rogaland;;;;;LIBS;Liberalistene;0,16332;333475;215;195;410;-0,09527;-0,14705;0;0;
11;Rogaland;;;;;PIR;Piratpartiet;0,07887;333475;88;110;198;-0,10027;0,07887;0;0;
11;Rogaland;;;;;PP;Pensjonistpartiet;0,5242;333475;952;364;1316;0,03257;-0,78971;0;0;
11;Rogaland;;;;;PS;Partiet Sentrum;0,34695;333475;516;355;871;0,34695;0,34695;0;0;
11;Rogaland;;;;;BLANKE;Blanke;0,58515;333475;669;800;1469;0,01084;-0,84909;0;0;
12;Hordaland;;;;;A;Arbeiderpartiet;22,78786;382305;39996;26916;66912;-0,12996;2,83584;4;0;
12;Hordaland;;;;;SV;SV - Sosialistisk Venstreparti;8,75149;382305;16416;9281;25697;1,68793;2,0972;1;0;
12;Hordaland;;;;;RØDT;Rødt;4,64735;382305;9003;4643;13646;2,48013;1,08671;1;0;
12;Hordaland;;;;;SP;Senterpartiet;9,93325;382305;15791;13376;29167;2,33105;-2,14996;2;0;
12;Hordaland;;;;;KRF;Kristelig Folkeparti;4,86394;382305;8435;5847;14282;-0,63195;0,06166;1;0;
12;Hordaland;;;;;MDG;Miljøpartiet De Grønne;3,81262;382305;7804;3391;11195;0,28306;-3,95776;0;0;
12;Hordaland;;;;;V;Venstre;4,22981;382305;7174;5246;12420;-0,13884;1,29039;1;1;
12;Hordaland;;;;;H;Høyre;24,60614;382305;43852;28399;72251;-5,72362;5,73416;4;0;
12;Hordaland;;;;;FRP;Fremskrittspartiet;12,70817;382305;20296;17019;37315;-2,26011;3,25164;2;0;
12;Hordaland;;;;;AAN;Alliansen - Alternativ for Norge;0,06845;382305;106;95;201;0,06845;0,06845;0;0;
12;Hordaland;;;;;DEMN;Demokratene;0,95562;382305;1842;964;2806;0,84406;0,67273;0;0;
12;Hordaland;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,13316;382305;216;175;391;0,13316;-10,61772;0;0;
12;Hordaland;;;;;HELSE;Helsepartiet;0,16143;382305;300;174;474;-0,0877;-0,11759;0;0;
12;Hordaland;;;;;INP;Industri- og Næringspartiet;0,57692;382305;1087;607;1694;0,57692;0,57692;0;0;
12;Hordaland;;;;;KRISTNE;Partiet De Kristne;0,45738;382305;837;506;1343;0,0019;-0,38705;0;0;
